时间,次数,架号,检测值
2022-11-12 11:10:25.321097,147,1,4484903
2022-11-12 11:10:26.288584,48,3,4504344
2022-11-12 11:10:26.615735,152,2,4510917
2022-11-12 11:10:26.625709,148,1,4511179
2022-11-12 11:10:27.313923,49,3,4524853
2022-11-12 11:10:27.329880,38,4,4525175
2022-11-12 11:10:27.937305,153,2,4537361
2022-11-12 11:10:27.953263,149,1,4537622
2022-11-12 11:10:28.345244,50,3,4545526
2022-11-12 11:10:29.247900,154,2,4563642
2022-11-12 11:10:29.257874,150,1,4563901
2022-11-12 11:10:29.370581,51,3,4566046
2022-11-12 11:10:30.386943,52,3,4586402
2022-11-12 11:10:30.432823,39,4,4587363
2022-11-12 11:10:30.571465,151,1,4590178
2022-11-12 11:10:30.574457,155,2,4590087
2022-11-12 11:10:31.400311,53,3,4606756
2022-11-12 11:10:31.883057,152,1,4616456
2022-11-12 11:10:31.884054,156,2,4616371
2022-11-12 11:10:32.432630,54,3,4627429
2022-11-12 11:10:33.192656,157,2,4642652
2022-11-12 11:10:33.277437,153,1,4644349
2022-11-12 11:10:33.546737,55,3,4649550
2022-11-12 11:10:33.560702,40,4,4650031
2022-11-12 11:10:34.505248,158,2,4668941
2022-11-12 11:10:34.544147,56,3,4669744
2022-11-12 11:10:34.586038,154,1,4670630
2022-11-12 11:10:35.551531,57,3,4689950
2022-11-12 11:10:35.825818,159,2,4695235
2022-11-12 11:10:35.913592,155,1,4697124
2022-11-12 11:10:36.577866,58,3,4710475
2022-11-12 11:10:36.681596,41,4,4712560
2022-11-12 11:10:37.128436,160,2,4721534
2022-11-12 11:10:37.224187,156,1,4723415
2022-11-12 11:10:37.585250,59,3,4730681
2022-11-12 11:10:38.520820,161,2,4749442
2022-11-12 11:10:38.536779,157,1,4749714
2022-11-12 11:10:38.618566,60,3,4751208
2022-11-12 11:10:39.561119,42,4,4770292
2022-11-12 11:10:39.643905,61,3,4771736
2022-11-12 11:10:39.848373,158,1,4776021
2022-11-12 11:10:39.849370,162,2,4775749
2022-11-12 11:10:40.650291,62,3,4792106
2022-11-12 11:10:41.146003,163,2,4802061
2022-11-12 11:10:41.175925,159,1,4802322
2022-11-12 11:10:41.400343,43,4,4807198
2022-11-12 11:10:41.666651,63,3,4812488
2022-11-12 11:10:42.458595,164,2,4828375
2022-11-12 11:10:42.472558,160,1,4828641
2022-11-12 11:10:42.688997,64,3,4833033
2022-11-12 11:10:43.245553,44,4,4844098
2022-11-12 11:10:43.706355,65,3,4853409
2022-11-12 11:10:43.768194,165,2,4854694
2022-11-12 11:10:43.780163,161,1,4854951
2022-11-12 11:10:44.729697,66,3,4873947
2022-11-12 11:10:45.081783,166,2,4881011
2022-11-12 11:10:45.082780,45,4,4881011
2022-11-12 11:10:45.096744,162,1,4881264
2022-11-12 11:10:45.740073,67,3,4894165
2022-11-12 11:10:46.403351,167,2,4907490
2022-11-12 11:10:46.498106,163,1,4909385
2022-11-12 11:10:46.768404,68,3,4914703
2022-11-12 11:10:46.914026,46,4,4917755
2022-11-12 11:10:47.713948,168,2,4933805
2022-11-12 11:10:47.787758,69,3,4935088
2022-11-12 11:10:47.811696,164,1,4935653
2022-11-12 11:10:48.745270,47,4,4954508
2022-11-12 11:10:48.811099,70,3,4955630
2022-11-12 11:10:49.027537,169,2,4960122
2022-11-12 11:10:49.122292,165,1,4961997
