时间,次数,架号,检测值
2022-11-06 14:43:08.024299,509,3,1650676
2022-11-06 14:43:08.101287,383,1,1653952
2022-11-06 14:43:08.314253,510,3,1663758
2022-11-06 14:43:08.315253,430,4,1663759
2022-11-06 14:43:08.346248,268,2,1665623
2022-11-06 14:43:08.595208,511,3,1677208
2022-11-06 14:43:08.829171,431,4,1688047
2022-11-06 14:43:08.876163,512,3,1690281
2022-11-06 14:43:09.160119,513,3,1703368
2022-11-06 14:43:09.366085,432,4,1712703
2022-11-06 14:43:09.413078,384,1,1715250
2022-11-06 14:43:09.440074,514,3,1716432
2022-11-06 14:43:09.727028,515,3,1729887
2022-11-06 14:43:09.879004,433,4,1736989
2022-11-06 14:43:10.010983,516,3,1742957
2022-11-06 14:43:10.287938,517,3,1756041
2022-11-06 14:43:10.407920,434,4,1761277
2022-11-06 14:43:10.569895,518,3,1769109
2022-11-06 14:43:10.729868,385,1,1776546
2022-11-06 14:43:10.777862,269,2,1778829
2022-11-06 14:43:10.857848,519,3,1782566
2022-11-06 14:43:10.922837,435,4,1785556
2022-11-06 14:43:11.136803,520,3,1795632
2022-11-06 14:43:11.418758,521,3,1808713
2022-11-06 14:43:11.441755,436,4,1809836
2022-11-06 14:43:11.697714,522,3,1821782
2022-11-06 14:43:11.971670,437,4,1834488
2022-11-06 14:43:11.988668,523,3,1835233
2022-11-06 14:43:12.043659,386,1,1837818
2022-11-06 14:43:12.093651,270,2,1840079
2022-11-06 14:43:12.307617,524,3,1850170
2022-11-06 14:43:12.492587,438,4,1858764
2022-11-06 14:43:12.773543,439,4,1871832
2022-11-06 14:43:12.879526,525,3,1876691
2022-11-06 14:43:13.054498,440,4,1884906
2022-11-06 14:43:13.334453,441,4,1897972
2022-11-06 14:43:13.360449,387,1,1898983
2022-11-06 14:43:13.409443,271,2,1901332
2022-11-06 14:43:13.535421,526,3,1907308
2022-11-06 14:43:13.622407,442,4,1911415
2022-11-06 14:43:13.904363,443,4,1924484
2022-11-06 14:43:14.186318,444,4,1937548
2022-11-06 14:43:14.202316,527,3,1938291
2022-11-06 14:43:14.466274,445,4,1950621
2022-11-06 14:43:14.676241,388,1,1960323
2022-11-06 14:43:14.725232,272,2,1962558
2022-11-06 14:43:14.748229,446,4,1963677
2022-11-06 14:43:14.859211,528,3,1968911
2022-11-06 14:43:15.034183,447,4,1977127
2022-11-06 14:43:15.316139,448,4,1990183
2022-11-06 14:43:15.519107,529,3,1999524
2022-11-06 14:43:15.612091,449,4,2003256
2022-11-06 14:43:15.886047,450,4,2016689
2022-11-06 14:43:15.991030,389,1,2021438
2022-11-06 14:43:16.040023,273,2,2023783
2022-11-06 14:43:16.167003,451,4,2029755
2022-11-06 14:43:16.447958,452,4,2042814
2022-11-06 14:43:16.727913,453,4,2055877
2022-11-06 14:43:16.751909,530,3,2056996
2022-11-06 14:43:17.007868,454,4,2068936
2022-11-06 14:43:17.300824,455,4,2082369
2022-11-06 14:43:17.309823,390,1,2082639
2022-11-06 14:43:17.354813,274,2,2084973
2022-11-06 14:43:17.577778,456,4,2095424
2022-11-06 14:43:17.859734,457,4,2108479
2022-11-06 14:43:17.985713,531,3,2114446
2022-11-06 14:43:18.139689,458,4,2121541
2022-11-06 14:43:18.427642,459,4,2134964
2022-11-06 14:43:18.429642,152,5,2135140
2022-11-06 14:43:18.434641,153,5,2135283
2022-11-06 14:43:18.619612,391,1,2143909
2022-11-06 14:43:18.667604,275,2,2146156
2022-11-06 14:43:18.707598,460,4,2148021
2022-11-06 14:43:18.988553,461,4,2161072
2022-11-06 14:43:19.205519,532,3,2171145
2022-11-06 14:43:19.269510,462,4,2174130
2022-11-06 14:43:19.381491,154,5,2178696
2022-11-06 14:43:19.565461,463,4,2187551
2022-11-06 14:43:19.841419,464,4,2200611
2022-11-06 14:43:19.936402,392,1,2205055
2022-11-06 14:43:19.985395,276,2,2207314
2022-11-06 14:43:20.119373,465,4,2213654
2022-11-06 14:43:20.129371,155,5,2214045
2022-11-06 14:43:20.314343,156,5,2222561
2022-11-06 14:43:20.415326,466,4,2227084
2022-11-06 14:43:20.431323,533,3,2228198
2022-11-06 14:43:20.689282,467,4,2240128
2022-11-06 14:43:20.970238,468,4,2253181
2022-11-06 14:43:21.068222,157,5,2257708
2022-11-06 14:43:21.254192,393,1,2266181
2022-11-06 14:43:21.255192,469,4,2266239
2022-11-06 14:43:21.301186,277,2,2268463
2022-11-06 14:43:21.542149,470,4,2279648
2022-11-06 14:43:21.821104,471,4,2292695
2022-11-06 14:43:21.956081,534,3,2299033
2022-11-06 14:43:22.013072,158,5,2301723
2022-11-06 14:43:22.101057,472,4,2305736
2022-11-06 14:43:22.421007,473,4,2320654
2022-11-06 14:43:22.567983,394,1,2327296
2022-11-06 14:43:22.623975,278,2,2329963
2022-11-06 14:43:22.761952,159,5,2336521
2022-11-06 14:43:22.993915,474,4,2347128
2022-11-06 14:43:23.519832,160,5,2371855
2022-11-06 14:43:23.545827,161,5,2372742
2022-11-06 14:43:23.648811,475,4,2377748
