PID     	进程名                                     	工作目录的绝对路径
12696   	PerfWatson2.exe                         	C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\Common7\IDE\PerfWatson2.exe
12752   	ServiceHub.Host.CLR.x64.exe             	C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x64\ServiceHub.Host.CLR.x64.exe
12804   	conhost.exe                             	C:\Windows\System32\conhost.exe
12872   	SgrmBroker.exe                          	C:\Windows\System32\SgrmBroker.exe
12928   	winrdlv3.exe                            	C:\Windows\System32\winrdlv3.exe
12976   	devenv.exe                              	C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\Common7\IDE\devenv.exe
13016   	SettingSyncHost.exe                     	C:\Windows\System32\SettingSyncHost.exe
13064   	ServiceHub.IndexingService.exe          	D:\Microsoft Visual Studio\2022\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.Dotnet.x64\ServiceHub.IndexingService.exe
13068   	vmware-tray.exe                         	D:\VMware\vmware-tray.exe
13432   	svchost.exe                             	C:\Windows\System32\svchost.exe
13536   	DFSSearchService.exe                    	C:\Program Files\Huawei\PCManager\DFSSearchService.exe
13572   	ServiceHub.IdentityHost.exe             	C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x86\ServiceHub.IdentityHost.exe
13644   	StartMenuExperienceHost.exe             	C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe
13940   	Microsoft.ServiceHub.Controller.exe     	C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\Common7\ServiceHub\controller\Microsoft.ServiceHub.Controller.exe
13984   	winrdlv3.exe                            	C:\Windows\SysWOW64\winrdlv3.exe
14272   	nierserver.exe                          	D:\Multisim\Shared\NI Error Reporting\nierserver.exe
14504   	SearchIndexer.exe                       	C:\Windows\System32\SearchIndexer.exe
14668   	WXWork.exe                              	D:\Program Files (x86)\WXWork\WXWork.exe
14828   	SecurityHealthHost.exe                  	C:\Windows\System32\SecurityHealthHost.exe
15008   	RuntimeBroker.exe                       	C:\Windows\System32\RuntimeBroker.exe
15016   	CODESYSControlSysTray.exe               	D:\Inovance Control\AM600\GatewayPLC\CODESYSControlSysTray.exe
